Pipeline,File,nDCG@5,MRR@5
text,vanilla_qrels_retrieve_only.json,0.7373892672233079,0.6848
text,vanilla_qrels_cohere_10.json,0.7583254177845405,0.7006
text,vanilla_qrels_reranker2_20.json,0.5876944189983222,0.5271333333333333
text,vanilla_qrels_cohere_20.json,0.7522730739432564,0.6900666666666667
text,vanilla_qrels_reranker2_10.json,0.6561944966966706,0.588
text,vanilla_qrels_reranker2_5.json,0.7373892672233079,0.6848
text,vanilla_qrels_colbert_10.json,0.6497327318222589,0.5816666666666667
text,vanilla_qrels_cohere_5.json,0.7423562863056675,0.6912666666666667
text,vanilla_qrels_colbert_20.json,0.6359080268256143,0.5685333333333333
text,vanilla_qrels_colbert_5.json,0.6909936677790365,0.6228666666666667
colpali,colpali_qrels.json,0.9432136560254548,0.9236666666666666
colpali,colpali_20_qrels.json,0.9361756111978531,0.9158
colpali,colpali_10_qrels.json,0.9372539177475517,0.9171333333333334
colpali,colpali_5_qrels.json,0.9444126432434625,0.9253333333333333
hybrid,voyage_text_minmax_qrels_0.50.json,0.8452334932408451,0.8014
hybrid,colpali_voyage_rank_qrels_0.60.json,0.9410383610220994,0.9208
hybrid,voyage_text_zscore_qrels_0.70.json,0.8700529762302794,0.8350666666666667
hybrid,colpali_voyage_zscore_qrels_0.60.json,0.9410383610220994,0.9221333333333334
hybrid,voyage_text_zscore_qrels_0.50.json,0.8490366184193507,0.8079333333333333
hybrid,voyage_text_minmax_qrels_0.70.json,0.8727211217267937,0.8359333333333333
hybrid,colpali_voyage_minmax_qrels_0.60.json,0.947467203979242,0.9294666666666667
hybrid,voyage_colpali_minmax_qrels_0.50.json,0.9383322242972505,0.9171333333333334
hybrid,voyage_text_rank_qrels_0.80.json,0.8744674665744726,0.8373333333333334
hybrid,voyage_colpali_zscore_qrels_0.70.json,0.9045148537043294,0.8743333333333334
hybrid,voyage_text_rank_qrels_0.55.json,0.835081944051409,0.7877333333333334
hybrid,voyage_colpali_rank_qrels_0.75.json,0.8864458867563337,0.8493999999999999
hybrid,voyage_colpali_rank_qrels_0.55.json,0.903481872786689,0.8701333333333333
hybrid,voyage_text_rank_qrels_0.75.json,0.8663870476282606,0.8264666666666667
hybrid,voyage_colpali_zscore_qrels_0.50.json,0.9327539445471853,0.911
hybrid,voyage_colpali_minmax_qrels_0.70.json,0.9085622381336341,0.8772666666666666
hybrid,voyage_colpali_rank_qrels_0.80.json,0.8791097002612871,0.8397333333333333
hybrid,colpali_voyage_rank_qrels_0.50.json,0.9146405982825997,0.8863333333333334
hybrid,voyage_text_minmax_qrels_0.60.json,0.8690932915516435,0.8322666666666666
hybrid,colpali_voyage_minmax_qrels_0.70.json,0.9551187799683115,0.9396666666666667
hybrid,colpali_voyage_zscore_qrels_0.50.json,0.9327539445471853,0.911
hybrid,voyage_text_zscore_qrels_0.60.json,0.8695458803227053,0.8354666666666667
hybrid,colpali_voyage_zscore_qrels_0.70.json,0.9445146420078135,0.9268
hybrid,colpali_voyage_rank_qrels_0.70.json,0.9395549573291776,0.9186666666666666
hybrid,colpali_voyage_minmax_qrels_0.50.json,0.9383322242972505,0.9171333333333334
hybrid,voyage_text_rank_qrels_0.65.json,0.8513304280952347,0.8085333333333333
hybrid,voyage_colpali_minmax_qrels_0.60.json,0.9243962318332667,0.8984666666666667
hybrid,voyage_colpali_zscore_qrels_0.60.json,0.9209508193686796,0.8951333333333333
hybrid,voyage_colpali_rank_qrels_0.65.json,0.8969344079584838,0.8616
hybrid,voyage_colpali_minmax_qrels_0.55.json,0.927903381340108,0.9031333333333333
hybrid,voyage_colpali_zscore_qrels_0.75.json,0.899562291732901,0.8676666666666666
hybrid,voyage_colpali_rank_qrels_0.70.json,0.8905170169995577,0.8535333333333333
hybrid,voyage_text_rank_qrels_0.50.json,0.8328592646187488,0.7859333333333333
hybrid,voyage_colpali_minmax_qrels_0.80.json,0.8982303300308813,0.8637333333333334
hybrid,voyage_colpali_zscore_qrels_0.80.json,0.8970859571479198,0.8646
hybrid,voyage_text_rank_qrels_0.70.json,0.8525294153132424,0.8102
hybrid,voyage_colpali_rank_qrels_0.50.json,0.9146405982825997,0.8863333333333334
hybrid,voyage_colpali_zscore_qrels_0.55.json,0.9255549573291776,0.9013333333333333
hybrid,voyage_colpali_minmax_qrels_0.75.json,0.9040076505982212,0.8712666666666666
hybrid,voyage_text_minmax_qrels_0.80.json,0.8776499378843028,0.8427333333333333
hybrid,voyage_text_minmax_qrels_0.55.json,0.8654963298976202,0.8286
hybrid,colpali_voyage_rank_qrels_0.65.json,0.9415620800363853,0.9214666666666667
hybrid,voyage_text_zscore_qrels_0.75.json,0.8715292572159936,0.8383999999999999
hybrid,colpali_voyage_zscore_qrels_0.65.json,0.9425146420078135,0.9241333333333334
hybrid,voyage_text_zscore_qrels_0.55.json,0.8616407563798485,0.8248
hybrid,voyage_text_minmax_qrels_0.75.json,0.8721974027125078,0.8352666666666666
hybrid,colpali_voyage_minmax_qrels_0.65.json,0.951467203979242,0.9348
hybrid,voyage_text_zscore_qrels_0.80.json,0.8755055114020743,0.8438666666666667
hybrid,voyage_text_rank_qrels_0.60.json,0.8426789057054321,0.7980666666666667
hybrid,voyage_colpali_minmax_qrels_0.65.json,0.91449110789041,0.8851333333333333
hybrid,voyage_colpali_zscore_qrels_0.65.json,0.9107684016581166,0.8814666666666667
hybrid,voyage_colpali_rank_qrels_0.60.json,0.8985859839475534,0.8637999999999999
hybrid,colpali_voyage_rank_qrels_0.55.json,0.940761067254393,0.9204666666666667
hybrid,voyage_text_minmax_qrels_0.65.json,0.8752757092622065,0.8392666666666666
hybrid,colpali_voyage_minmax_qrels_0.75.json,0.9492136560254548,0.9316666666666666
hybrid,colpali_voyage_zscore_qrels_0.55.json,0.9366095180649568,0.9161333333333334
hybrid,colpali_voyage_rank_qrels_0.80.json,0.9409363622577483,0.9206666666666666
hybrid,colpali_voyage_zscore_qrels_0.80.json,0.9355858258503046,0.916
hybrid,colpali_voyage_minmax_qrels_0.80.json,0.9447848130683123,0.9256666666666666
hybrid,voyage_text_zscore_qrels_0.65.json,0.8720767220441988,0.8389333333333333
hybrid,colpali_voyage_zscore_qrels_0.75.json,0.9415620800363853,0.9228
hybrid,colpali_voyage_rank_qrels_0.75.json,0.9375549573291776,0.916
hybrid,colpali_voyage_minmax_qrels_0.55.json,0.9459909229935277,0.9274666666666667
voyage,voyage_qrels.json,0.8668015406730057,0.8321333333333333
