Subfolder,Index,Exact Match,F1-Score,METEOR,BERTScore
image,0,0.0,0.3333333333333333,0.3097222222222223,0.7066619396209717
image,1,1.0,1.0,0.18939393939393942,0.9999997615814209
image,2,1.0,1.0,0.14204545454545459,0.9999997019767761
image,3,1.0,1.0,0.2016129032258065,0.9999996423721313
image,4,0.0,0.6666666666666666,0.15368852459016397,0.7747339010238647
image,5,0.0,0.6666666666666666,0.12668918918918923,0.8090943098068237
image,6,0.0,0.8,0.06329113924050633,0.7945675849914551
image,7,1.0,1.0,0.32004830917874405,1.0000001192092896
image,8,1.0,1.0,0.18939393939393942,1.000000238418579
image,9,1.0,1.0,0.054347826086956534,1.0
image,10,1.0,1.0,0.06097560975609757,1.0000001192092896
image,11,1.0,1.0,0.09259259259259262,1.0000003576278687
image,12,1.0,1.0,0.08196721311475412,1.0000001192092896
image,13,1.0,1.0,0.22865853658536586,1.0000001192092896
image,14,0.0,0.0,0.0602409638554217,0.43874484300613403
image,15,0.0,0.8,0.13686131386861317,0.8362147808074951
image,16,1.0,1.0,0.24743230625583573,1.0
image,17,0.0,0.8571428571428571,0.0746268656716418,0.9209470152854919
image,18,0.0,0.6666666666666666,0.12335526315789476,0.7201757431030273
image,19,0.0,0.5,0.041322314049586785,0.9025300741195679
image,20,0.0,0.6666666666666666,0.15368852459016397,0.8031545877456665
image,21,1.0,1.0,0.26289682539682546,1.0
image,22,0.0,0.6666666666666666,0.09433962264150945,0.7254128456115723
image,23,0.0,0.8,0.18564356435643567,0.8627129793167114
image,24,1.0,1.0,0.32894736842105265,1.000000238418579
image,25,0.0,0.6666666666666666,0.18750000000000003,0.817721426486969
image,26,0.0,0.8,0.08547008547008549,0.8952709436416626
image,27,0.0,0.6666666666666666,0.07692307692307694,0.6063444018363953
image,28,0.0,0.6666666666666666,0.10000000000000002,0.7035216689109802
image,29,1.0,1.0,0.04065040650406505,1.0000001192092896
image,30,1.0,1.0,0.22058823529411767,1.000000238418579
image,31,0.0,0.8,0.21802325581395354,0.8443692326545715
image,32,1.0,1.0,0.2884615384615385,1.0
