Subfolder,Index,Exact Match,F1-Score,METEOR
text,8,0.0,0.0,0.0
text,9,0.0,0.0,0.03787878787878789
text,11,0.0,0.0,0.0
text,3,0.0,0.20224719101123598,0.1951219512195122
text,1,0.0,0.0,0.04504504504504506
text,4,0.0,0.07547169811320756,0.1121794871794872
text,7,0.0,0.33333333333333337,0.2656949936619043
text,2,0.0,0.08333333333333331,0.12173913043478263
text,6,0.0,0.34285714285714286,0.28241012432620416
text,0,0.0,0.0,0.03759398496240602
text,5,0.0,0.2,0.1496245881272619
text,10,0.0,0.0,0.0
text,12,0.0,0.0,0.0
text,15,1.0,1.0,0.037313432835820906
text,14,0.0,0.30769230769230765,0.20632024396929827
text,13,0.0,0.1234567901234568,0.22941740798883664
text,18,0.0,0.0,0.0
text,21,0.0,0.0,0.0
text,22,0.0,0.5137614678899083,0.5557896304808111
text,24,0.0,0.2,0.16774102892874082
text,25,0.0,0.2580645161290323,0.3049180327868853
text,16,0.0,0.12,0.0865051903114187
text,20,0.0,0.0,0.055555555555555566
text,17,0.0,0.0,0.0
text,23,0.0,0.12658227848101267,0.13643706011307258
text,19,1.0,1.0,0.11645962732919257
text,27,0.0,0.29411764705882354,0.22354254201680673
text,26,0.0,0.14583333333333334,0.18084490740740747
text,28,0.0,0.3333333333333333,0.21319444444444444
text,31,0.0,0.23529411764705885,0.2660635011885371
text,30,0.0,0.0,0.0
text,29,0.0,0.3529411764705882,0.20855379188712525
text,32,0.0,0.4347826086956522,0.38308921808866125
text,34,0.0,0.44155844155844154,0.4094632385510945
text,39,0.0,0.1090909090909091,0.16591007349762213
text,33,0.0,0.2469135802469136,0.30334916603962886
text,38,0.0,0.044444444444444446,0.06250000000000001
text,37,0.0,0.1702127659574468,0.15828113423587256
text,36,0.0,0.1904761904761905,0.11792452830188682
text,35,0.0,0.41666666666666663,0.24073812217194576
text,47,0.0,0.15625000000000003,0.22266409826218436
text,42,0.0,0.5405405405405405,0.4638977635782747
text,43,0.0,0.2857142857142857,0.1602564102564103
text,41,0.0,0.2,0.20517884573184114
text,50,0.0,0.1311475409836066,0.15294117647058827
text,46,0.0,0.0,0.02857142857142858
text,49,0.0,0.0,0.059523809523809534
text,44,0.0,0.07999999999999999,0.02645502645502646
text,48,1.0,1.0,0.11363636363636366
text,45,0.0,0.0,0.059523809523809534
text,51,0.0,0.3037974683544304,0.34728831009822747
text,40,0.0,0.1518987341772152,0.09316770186335406
text,54,0.0,0.25,0.22891005170316303
text,55,0.0,0.11320754716981132,0.1743970315398887
text,60,0.0,0.3125,0.2611324467578633
text,56,0.0,0.0,0.0
text,52,0.0,0.3414634146341463,0.2119681665136211
text,58,0.0,0.0,0.05617977528089889
text,53,0.0,0.3137254901960784,0.26390532544378703
text,63,0.0,0.33333333333333337,0.1984852979957806
text,57,0.0,0.0,0.03225806451612904
text,61,0.0,0.14492753623188404,0.20761551373796278
text,65,0.0,0.21875,0.2465753424657534
text,64,0.0,0.5423728813559322,0.33719586374695865
text,68,0.0,0.0,0.0
text,59,0.0,0.0,0.0
text,67,0.0,0.0,0.0
text,62,0.0,0.24742268041237117,0.2755416968200588
text,66,0.0,0.4848484848484849,0.359907531123412
text,70,0.0,0.0,0.0
text,71,1.0,1.0,0.1348920863309353
text,73,0.0,0.23076923076923075,0.2878682951397633
text,69,0.0,0.0,0.0
text,75,0.0,0.0,0.0
text,74,0.0,0.0,0.0
text,77,0.0,0.2893081761006289,0.32285350729606466
text,80,0.0,0.0,0.07575757575757576
text,76,0.0,0.21359223300970875,0.24819794816074583
text,78,0.0,0.6666666666666665,0.40766010546230336
text,82,0.0,0.0,0.0
text,79,0.0,0.3953488372093023,0.26513185215946844
text,72,0.0,0.6470588235294118,0.4763982113998474
text,81,0.0,0.0,0.0
text,84,1.0,1.0,0.035211267605633804
text,83,0.0,0.0,0.03846153846153847
text,85,0.0,0.425531914893617,0.17527942143326758
text,86,0.0,0.24528301886792447,0.3510549820317043
text,90,1.0,1.0,0.6069845034648165
text,91,0.0,0.3272727272727273,0.29375600655774775
text,92,0.0,0.2857142857142857,0.37398373983739847
text,88,0.0,0.5199999999999999,0.3408487204405572
text,93,0.0,0.17142857142857143,0.34917582417582416
text,94,0.0,0.4761904761904762,0.2693242586290715
text,95,0.0,0.37037037037037035,0.21766120897028016
text,87,0.0,0.11428571428571428,0.0904977375565611
text,96,0.0,0.2222222222222222,0.2914837437169944
text,102,0.0,0.0,0.0
text,100,0.0,0.0,0.0
text,99,0.0,0.0,0.0
text,101,0.0,0.0,0.044247787610619475
text,97,0.0,0.16,0.20018257694314032
text,104,0.0,0.0,0.0
text,103,0.0,0.0,0.06493506493506496
text,98,0.0,0.08695652173913045,0.05597014925373136
text,89,0.0,0.26666666666666666,0.209046052631579
text,105,0.0,0.33333333333333337,0.23358024691358031
text,107,0.0,0.0,0.2133971291866029
text,106,0.0,0.4,0.2180455942622951
text,110,0.0,0.0,0.0
text,112,0.0,0.0,0.025000000000000005
text,108,0.0,0.37500000000000006,0.34271494652016593
text,109,0.0,0.42857142857142855,0.30487035518263833
text,116,0.0,0.0,0.0
text,114,0.0,0.0,0.0
text,119,0.0,0.0,0.0
text,111,0.0,0.15384615384615383,0.12084592145015108
text,117,0.0,0.3225806451612903,0.42880073377665673
text,113,0.0,0.0,0.04166666666666668
text,115,0.0,0.0,0.029940119760479045
text,118,0.0,0.15384615384615383,0.14635353816640367
text,120,0.0,0.5,0.4541022077037974
text,121,0.0,0.20689655172413793,0.16129032258064518
text,124,0.0,0.0,0.03030303030303031
text,123,0.0,0.0,0.024271844660194178
text,122,0.0,0.33333333333333337,0.2949766355140187
text,128,0.0,0.1,0.08230452674897121
text,129,0.0,0.3,0.37665369649805447
text,127,0.0,0.4444444444444445,0.27361627868690525
text,125,0.0,0.8823529411764706,0.5796150481189852
text,126,0.0,0.2857142857142857,0.24852362204724412
text,130,0.0,0.13793103448275865,0.1366120218579235
text,132,0.0,0.125,0.12054507337526207
text,133,0.0,0.0,0.0
text,131,0.0,0.4285714285714286,0.3184336028910809
text,135,0.0,0.08333333333333333,0.16887036504742745
text,136,0.0,0.0,0.0
text,134,0.0,0.10526315789473682,0.04566210045662101
text,140,0.0,0.0,0.12228260869565218
text,141,0.0,0.4516129032258065,0.3837943989071039
text,138,0.0,0.3950617283950617,0.3462323343079922
text,143,0.0,0.09090909090909091,0.3996240401023891
text,144,0.0,0.2,0.2702397010648726
text,137,0.0,0.3555555555555555,0.3132393453249068
text,146,0.0,0.5333333333333333,0.2695652173913044
text,142,0.0,0.3870967741935483,0.265282583621684
text,149,0.0,0.0,0.0
text,148,1.0,1.0,0.12500000000000003
text,147,0.0,0.0,0.0
text,145,0.0,0.25396825396825395,0.20427862503025904
text,139,0.0,0.4166666666666667,0.3518533671548973
